Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
FNCE-6110,FNCE-6110‐002,Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,10:15a,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
FNCE-6110,FNCE-6110‐002,Corporate Finance,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Drechsler,Drechsler,1.0,10:15a,Full,2.799,2.976,2.834,2.579,,,,
FNCE-6110,FNCE-6110‐003,Corporate Finance,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,1:45p,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
FNCE-6110,FNCE-6110‐003,Corporate Finance,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Drechsler,Drechsler,1.0,1:45p,Full,2.799,2.976,2.834,2.579,,,,
FNCE-6110,FNCE-6110‐004,Corporate Finance,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Indarte,Indarte,1.0,3:30p,Full,2.799,2.976,2.834,2.579,2.249166666666667,2.6358333333333333,2.815,2.4783333333333335
FNCE-6110,FNCE-6110‐004,Corporate Finance,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Drechsler,Drechsler,1.0,3:30p,Full,2.799,2.976,2.834,2.579,,,,
FNCE-6130,FNCE-6130‐001,Macroeconomics and the Global Economic Environment,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Abel,Abel,1.0,8:30a,Full,2.39,2.623,2.77,2.377,2.4824999999999995,2.9043750000000004,2.9374999999999996,2.5021875000000002
FNCE-6130,FNCE-6130‐002,Macroeconomics and the Global Economic Environment,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Abel,Abel,1.0,10:15a,Full,2.39,2.623,2.77,2.377,2.4824999999999995,2.9043750000000004,2.9374999999999996,2.5021875000000002
FNCE-6210,FNCE-6210‐001,Corporate Finance (Half CU),Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Q1, 20 Jan - 2 Mar",Drechsler,Drechsler,0.5,8:30a,Q1,3.0,3.4,2.44,2.22,,,,
FNCE-6210,FNCE-6210‐002,Corporate Finance (Half CU),Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Drechsler,Drechsler,0.5,10:15a,Q1,3.0,3.4,2.44,2.22,,,,
